title,tipo,url,imagen,content
Tema de wrapbootstrap,referente,"<a href=""http://wrapbootstrap.com/preview/WB0DN19X0"">Visitar la pagina</a>","images/idea.PNG","Página de muestra, me gusta de esta página el menú, además de que muestra al mismo tiempo varias cosas en la foto horizontal, que se van cambiando automáticamente"
Tema de wrapbootstrap,referente,"<a href=""https://htmlstream.com/preview/unify-v1.9.8/index.html"">Visitar la pagina</a>","images/unifi.PNG","Plantilla. De esta página me gustan mucho los colores que usa y el footer. La encuentro ordenada y fácil de encontrar lo que se necesita"
Pagina KSB,antecedente,"<a href=""https://www.ksb.com/ksb-cl-es/"">Visitar la pagina</a>","images/ksb2.PNG","Página de una empresa líder en la fabricación de Bombas y Válvulas, De los referentes que revise esta es bastante simple, en colores y imágenes, lo que más rescato es que en la página de inicio tiene harta información y noticias que luego se pueden abrir para ver más información"
Pagina Tecnoval,antecedente,"<a href=""http://www.tecnovalve.cl/"">Visitar la pagina</a>","images/tecnoval.PNG","Página de válvulas para el control de fluidos, es bastante ordenada, me gusta la distribución de las cosas"
